publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-30T08:17:52Z,@ahmadsyiddiq9411,Klo dimakzulkan sama dg kebal hukum klo tetbukti haqqul yaqin ya fproses dan dihukum,0
2024-10-30T07:57:09Z,@YuliartiYul-i1q,"Smua makhluk melaknat mgutulk  smg Allah bunuh olh smua makhluknya  dan mrk perangi,  Allah<br>, mka kt mri smua bgs maju tak gentar utk membunuhnya dg persng pertempuran  olh smua bhs yg dipimpin olh presiden putin. Waspadai yg ngaku jd presiden  yg  mantan menantu soeharto dia dia bgian iblis pki  yg menyarankan baliknya fakta ngku jd presiden  pmrintah Ri yg dah  dia sangat trcatat disisi Allah sangat ondusta sangat ondusta  dia budak materi yg sangat llicik dusta  sblum pmilu dia sdh coplos  tdk ada iblis yg jujur tdk ada yg baik smua kburukn ada pdnya smua dnia tahu dia  coplos surat suara d coplos di intai Nasa  , kelompok iblis jgn sampai iblis jd pemimpin d negara kta  dn dn layak kata Allah d bunuh  smua grup pki yg menyebutkan kabinet merah putih  mrk paling jhy d sadis d smua yg mdukungnya trmsuk refli ini pro pki pstikn dia musuh kta layak d bunuh jgn abaikan  mtk tuksng riba, tukang bantai smua muslim  penghancur agama  mmbuat tandingan dg Allah, dn sangat berlawanan dg khndak Allah, dan memelihara dukun sihir smua makhluk mngutuk d mrlsknat utk f bunuh perusak, prmalig harta muslim  penganiayaan, d agama bginya rscun dn tuksng riba, meracuni smua muslim d gelatin babi dg membuka racun ke smua mkanan d minuman siap saji d rsvuni yrmsuk refli ini tak tak waras krn  tamak d budak materi agama dihapus d RT di akn bahagia tpi hidup sengsara d dnia d di akhirat usahanya hncur d hartanya hancur habis dn krn tdk ada kbrkahsn bgi iblis yg ada Allah azb dg api neraka d dnia d di skhirat mrk lbih hina dr bintang trnsk Allah siapkn tempat tnggalkn kekal dlm api neraka ats perbuatannya yg tdk takut dg Azab api neraka",0
2024-10-30T07:53:33Z,@JannahBuana-yq2hm,"Coba tanyakan kepada Chat GPT (AI) itu mengenai fufufafa, bila perlu bikin wawancara khusus Chat GPT",0
2024-10-30T07:53:23Z,@AlvinRiqullah,setiap perbuatan ada tanggung jawab yg besar... dan akan segera terungkap terbukti secara nyata di hadapan semua rakyat Indonesia.... buktikanlah,0
2024-10-30T07:48:17Z,@cacihwinarsih5229,Yg py akun fufufafa bisa jd sdh eror otak nya trus knpa tdk di tindak sm yg berwajib ?.hy karna anak jokowi begitu ? Ini org ko bisa lanjut jd cawapres apa tdk berbahaya tuh ?,0
2024-10-30T07:25:35Z,@NengNeni-ju1mo,Wkl presden oon,0
2024-10-30T07:19:01Z,@wahidinabduljabar6630,PEJUANG. = PENGEJAR JABATAN dan UANG.🙄,0
2024-10-30T07:17:45Z,@BapakAnas-i2t,Masalahnya biasa ada yg menutupi lha akhirnya tutupnya kebuka sendiri,0
2024-10-30T06:53:14Z,@idangidong1324,"TULISAN DAN UCAPAN ITU PENCERMINAN TINGKAH LAKUNYA, JIKA TULISAN DAN UCAPAN ITU JOROK DAN NORAK,. APA LAGI DENGAN KEBOHONGAN..,ITU AKHLAKNYA DAH BEJAT, SANGAT BERBAHAYA JIKA JD PEMIMPIN..",0
2024-10-30T06:53:10Z,@dodyharyanto2845,Usut tuntas akunnya fufufafa dari bikin kegaduhan saja,0
2024-10-30T06:52:50Z,@Rasiman1234-m8k,Pecatan sakit hati bantar lagi sakit jiwa,0
2024-10-30T06:39:47Z,@jeryakbar8732,"Klo ga ngaku pemilik akun fufufafafa, berarti anak monyet yg punya",0
2024-10-30T06:26:17Z,@Puryantodadi,Dedikempot,0
2024-10-30T06:22:30Z,@aavsahap1957,"Sloganmah nedara 2045 Indonesia emas, tp wakilnya ga mencerminkan seorg berpendidikan yg waras. Gmn mau jd pinter menuju indonesia emas. GAMUNGKIN TERCAPAI",0
2024-10-30T06:18:50Z,@japitersihite3694,"Emang bukan urusan anda,urusan andakan kawin2 aja",0
2024-10-30T06:18:20Z,@userbocay6155,Mundur ? mana ada di konoha budaya mundur setingkat rt aja kaga ada yg mau mundur apalagi wapres hasil selingkuh 😂,0
2024-10-30T06:03:01Z,@susy6769,"Bukannya mengundurkan diri, habis dilantik malah blusukan &amp; menerima wakil dr negara lain, mungkin dia pikir jd presiden kali, bikin pencitraan biar rakyat memaafkan, kenapa gak sekalian masuk gorong-2 cari tikus....",0
2024-10-30T06:02:04Z,@PanakkualJaya,"GK nyambung bung,,sok tau",0
2024-10-30T06:00:59Z,@trissutrisno8775,Kita tunggu jiwa satrianya yg akan jadi contoh bagi semua.. Satria .apalagi sdh bukan rahasia lagi siapa pemiliknya.. Jngmunafik..satria.. Bangsa ini pemaaf,0
2024-10-30T05:57:02Z,@adjihandoko7086,Acun fufu Fafa = kasus ijasahnya jokowi yg gak selesai selesai<br>Buah Pinang jatuhnya gak jauh dr pohonya<br>Yg bikin Gaduh tapi kl ISTANA aparat DIAM 1000 bahasa<br>Tapi kl yg bikin gaduh Rakyat Jelata langsung d CIDUK aparat,0
2024-10-30T05:53:51Z,@syamsudiskw6912,KOMINFO MENGAPA KOK BISA BILANG TAK  BISA MENCARI  SIAPA PEMILIK FUFUPAPA APAKAH KIMINFO LINDUNGI FUFUPAPA,0
2024-10-30T05:50:09Z,@DarmawanhadyWawan,"Gibran dikasih jebakan betmen sama Pak Prabowo, Keluarn Negeri selama sebulan emang wakil bisa nanganin warga +62  selama itu 😂😂😂",0
2024-10-30T05:48:13Z,@Mechanicsguy,PSIKOPAT: BISA BERBUAT YANG ANEH2....SEPERTI PROMOSIKAN MOBIL GHOIB ESEMKA.....🤣🤣🤣,0
2024-10-30T05:47:59Z,@paulipubanggai27,Sy coblos pak prabowo alhamdulillah beliau naik sebagai presiden,0
2024-10-30T05:47:27Z,@paulipubanggai27,Cari tau siapa pemilik akun fufufafa baru di beri harapan,0
2024-10-30T05:26:15Z,@qwingagung,"Bagaiman mau mengakui, itu sudah diajakrka bapaknya <br>Bapaknya saja sampai sekarang ngak mau mengakui kalau dia bukan alumni UGM",0
2024-10-30T05:16:30Z,@gufroonrambi9107,Ceramah isinya cuma sampah....,0
2024-10-30T05:15:31Z,@suyitnosuyitnos5359,Kelihatan banget refli cari sensasi karena itu2 aja yg di putar,0
2024-10-30T05:14:06Z,@suyitnosuyitnos5359,Ini aja di putar2 ulang terus dasar ga kreatif,0
2024-10-30T05:09:53Z,@suriyantoahian9598,"😂😂😂 rh sakit ati,,gak sembuh2,,mau jd pahlawan biar di ajak pak Prabowo ikut dpt jabatan😂😂😂 kasihan",0
2024-10-30T05:07:16Z,@Subandi-bk6fw,"Gampang kok urutannya , Kacang itu tdk meninggalkn la<br>njaran &quot; <br>      Anak berbohong keatas pasti PEMBOHONG &quot;",0
2024-10-30T04:47:59Z,@jackkoya2388,ustad jangan ikut bicara tntang orang lain..pocus aja tntng ceramah...,0
2024-10-30T04:45:05Z,@Mukhyakinyakin,"Akun nya punya Roi Suryo Cs   pengadu domba  , <br><br>Apresiasi pak AAGIM  ,...... 👍👍",0
2024-10-30T04:37:39Z,@sumiatunsumiatun6846,Pak ustad sepi job apa gimana kok ngurusin yg bukan bidangnya,0
2024-10-30T04:26:16Z,@tjendradjajakusbandi678,RASAILU,0
2024-10-30T04:19:59Z,@Wasroni-s8c,"Yakinkan buah yg busuk pasti rapuh,kita goyang goyang karena kebusukannya bau menyengat ,mengganggu udara sehat.",0
2024-10-30T04:14:19Z,@jalanberdurichannel5934,Gentleman seperti aa Gym mengaku punya istri 2 hehehe.... Bener apa bener....,0
2024-10-30T03:59:47Z,@pirnadisetyawan6964,Refly bahas lain gk bisa ya biar gk keliatan bahwa anda ini pengen dirangkul pejabat...Alloh maha tahu anda ini gk pantas jadi pejabat....anda ini PROVOKATOR,0
2024-10-30T03:52:28Z,@anastasiareinasta3714,"Masalah nya yg di nasehati n di ksh masukan paham nda aqidahnya ? Krn kalau dia paham, sejak awal pasti sdh sadar diri n tahu diri.",0
2024-10-30T03:45:18Z,@abdillahakbar2663,Bayangkan negara ini di pimpin ama fukfukfakfak,0
2024-10-30T03:44:32Z,@Abukasimbugis07,"Yakinlah bahwa pa presiden Republik Indonesia pak Prabowo Subianto pasti akan di ungkap tapi perlahan ,beliau ini punya ilmu strategis yg luar biasa, ingat ga ?? ada sala satu pidato beliau atau omongan beliau bahwa ketika di kalakan 2 kali maka yg ketiga beliau bergabung akhirnya menang juga de,(, itu pesan yg bermakna)",0
2024-10-30T03:36:04Z,@ugikbintoro,<b>BABAK BARU</b> 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
2024-10-30T03:29:51Z,@anastasiareinasta3714,Masya Allah.... Smg Aa Diberi sehat selalu n dilindungi Allah.,0
2024-10-30T03:28:16Z,@yudisantoso4063,Fufufafa.. !!! Moga kebenaran nya terbuka dan yg sudah memfitnah akan mendapatkan karma dan balasannya yg setimpal...,0
2024-10-30T03:22:52Z,@adelwishkamila713,Gimana mau gentleman kerja aja bawa2 mainan,0
2024-10-30T03:17:31Z,@AnglerBee,Dari kemarin2 perasaan konten nya gini2 aja<br>Ga ada tindak lanjut nya,0
2024-10-30T03:17:31Z,@AnglerBee,Dari kemarin2 perasaan konten nya gini2 aja<br>Ga ada tindak lanjut nya,0
2024-10-30T03:12:21Z,@PengamatSuasana-ke7ce,"Tidak ada yang punya a, soalnya yg punya udah berlepas diri...",0
2024-10-30T03:05:38Z,@henysulistyowati3092,Refly .... refly....gak capek bikin hoax.,0
2024-10-30T03:05:08Z,@susiatimudji5193,Ayolah mas Gibran lebih hormat klau mengundurkan diri dari jabatan kalau Fufufafa  itu benar milik mas Gibran. Nanti  5 tahun nyalon lagi. Percayalah kpd Yang Maha Kuasa. Kebaikan mas Gibran akan dpt balasan dari Alloh.,0
2024-10-30T03:03:30Z,@ENY489,SI SAMSOL PANDANGAN MATA NYA KOSONG,0
2024-10-30T02:54:45Z,@susiatimudji5193,Ayolah kalau akun Fufufafa terbukti cepat seret masukkan Penjara😊,0
2024-10-30T02:50:49Z,@afianery1416,Kl ndasmu produk drmn ya,0
2024-10-30T02:46:29Z,@sekarnyimasayu7847,"NI PRESIDENKU YG HEBAT,,, SEMOGA BPK PRABOWO SELALU SEHAT,,, PANGKU DENGAN KUAT BPKKU NMER 1,,",0
2024-10-30T02:40:13Z,@rajintuban1143,Pret.mbah,0
2024-10-30T02:36:20Z,@BejoPrasetyo-j1z,Bang Harun apakah mungkin semua ini akan di proses yg di koar koarkan di media ini.,0
2024-10-30T02:32:48Z,@maswati68,Bu refly makin kerenn cadas,0
2024-10-30T02:31:51Z,@emrialturga,"seharusnya seluruh rakyat indonesia bikin petisi pemakzulan si fufufafa secepatnya.. mulai dari poling medsos,,",0
2024-10-30T02:28:25Z,@SantosoSantoso-g6g,Harus di bongkar.. Kalau mengelak .. Harus di Pidanakan sesuai hukum,0
2024-10-30T02:27:18Z,@KarawangLoji-ek2jx,Malah sya yg merasakan sakit hati nya.sama kata2 fufufafa.apalagi skarang pak Prabowo udah jdi presiden sya dan seluruh rakyat Indonesia.,0
2024-10-30T02:18:33Z,@mandalaseftian6365,"Ancur klw gak di tangkap dan di adili, sudah gak percaya lagi pada Prabowo klw fufu fafa gak di adili",0
2024-10-30T02:06:03Z,@wahyuniekopurwati6553,"<a href=""https://www.youtube.com/watch?v=0w9wbvp4RAE&amp;t=106"">1:46</a>",0
2024-10-30T01:58:19Z,@NirwansyahRegen-t2x,"Mana mau ngaku itu si fifufafa,  meski pun sudah dibuktikan oleh  Roy Suryo bhw 99.99 %  akun fufufafa itu milik si gebran alias asam sulpat.",0
2024-10-30T01:57:29Z,@harisiswanto9705,Pemilik akun FFFF pengecut !!!!!!!,0
